JPT_KOD_JE,JPT_NAZWA_,Dlugosc,Szerokosc
602011,Biłgoraj,22.71124,50.53853
613012,Dębowa Kłoda,23.03847,51.59358
614062,Kurów,22.17552,51.40305
615011,Radzyń Podlaski,22.62778,51.77710
811092,Tuplice,14.88089,51.69572
2471011,Piekary Śląskie,18.96666,50.37360
804082,Siedlisko,15.88511,51.76637
609052,Głusk,22.61508,51.16529
601021,Terespol,23.61778,52.07383
3004073,Poniec,16.86059,51.77935
1218093,Wadowice,19.51277,49.86854
1424022,Obryte,21.23309,52.72362
2003032,Bielsk Podlaski,23.18507,52.79279
2003042,Boćki,23.05150,52.63573
1009032,Nowa Brzeźnica,19.15980,51.05309
1010083,Rozprza,19.67977,51.29268
1012062,Kobiele Wielkie,19.61902,51.02327
1017042,Mokrsko,18.48241,51.15955
2417032,Gilowice,19.30207,49.70901
2609082,Wilczyce,21.64977,50.75191
3215052,Grzmiąca,16.43560,53.84142
1813062,Medyka,22.91271,49.80751
3014022,Kwilcz,16.11093,52.54459
3202063,Recz,15.57323,53.25717
3206043,Gryfino,14.56785,53.24221
209011,Chojnów,15.93509,51.27280
402032,Brodnica,19.40958,53.23780
606043,Izbica,23.14959,50.89391
801073,Witnica,14.87650,52.67955
1214033,Nowe Brzesko,20.39811,50.15010
1214042,Pałecznica,20.30587,50.27767
1018022,Czastary,18.31619,51.25249
1429032,Ceranów,22.22204,52.65011
1430032,Mirów,21.01414,51.18932
1433011,Węgrów,22.03195,52.40508
416063,Tuchola,17.88619,53.65324
2405021,Pyskowice,18.60964,50.38896
2407052,Kochanowice,18.72865,50.71956
2012062,Rutka-Tartak,22.96468,54.31788
2013023,Ciechanowiec,22.56516,52.66016
620072,Nielisz,23.05640,50.80587
1004063,Piątek,19.46631,52.06206
1015052,Lipce Reymontowskie,19.94222,51.90396
1016032,Budziszewice,19.97474,51.68172
1016072,Rokiciny,19.79939,51.65684
1008072,Pabianice,19.32287,51.66673
1211052,Jabłonka,19.68094,49.50523
2213132,Zblewo,18.34813,53.93864
2216032,Stary Dzierzgoń,19.44367,53.87245
2416053,Łazy,19.38979,50.41800
2468011,Jaworzno,19.29116,50.20433
3009043,Dąbie,18.80004,52.10982
1425103,Skaryszew,21.25438,51.29659
1420011,Płońsk,20.36403,52.62539
2817011,Szczytno,20.99562,53.56306
3206033,Chojna,14.42728,52.97132
606112,Żółkiewka,22.84618,50.90141
607042,Gościeradów,22.00072,50.86227
807053,Torzym,15.03771,52.30641
1411011,Maków Mazowiecki,21.09206,52.86139
1411022,Czerwonka,21.20748,52.89703
1205023,Biecz,21.21937,49.73619
1206082,Michałowice,20.00255,50.15869
2861011,Elbląg,19.43925,54.19046
1212053,Olkusz,19.60069,50.26489
1018073,Wieruszów,18.16314,51.31503
1020083,Stryków,19.60521,51.90897
2417052,Koszarawa,19.42986,49.65029
1806023,Kolbuszowa,21.80178,50.21677
2005082,Narew,23.50342,52.90880
1821022,Cisna,22.39218,49.18072
411072,Topólka,18.68862,52.49825
207033,Lubawka,15.96830,50.69333
811082,Trzebiel,14.83563,51.60065
1211011,Nowy Targ,20.03672,49.49032
1419042,Bulkowo,20.08385,52.55983
1804062,Pawłosiów,22.61767,50.00376
1262011,Nowy Sącz,20.70470,49.60744
1425082,Pionki,21.42519,51.47802
1426072,Przesmyki,22.61110,52.27614
2202032,Chojnice,17.57980,53.72930
2209062,Miłoradz,18.88636,54.02167
2406092,Wręczyca Wielka,18.87920,50.83900
2210052,Sztutowo,19.24847,54.34272
2013052,Kobylin-Borzymy,22.66607,53.08466
2013062,Kulesze Kościelne,22.51792,53.00598
2817022,Dźwierzuty,21.00574,53.70723
3002062,Połajewo,16.66801,52.78873
