TERYT Gmina,Nazwa Gminy,RODZAJ,Długość,Szerokość
1409063,Solec nad Wisłą,gmina,"691191,732794446","364549,589846198"
1861011,Krosno,gmina,"698689,095617943","206294,394058662"
1216153,Żabno,gmina,"634004,624393988","254914,11476781"
414022,Dragacz,gmina,"478245,969145787","625703,893212758"
461011,Bydgoszcz,gmina,"436631,774989537","585527,675463534"
620092,Sitno,gmina,"809988,088894796","328798,126462681"
2809053,Orneta,gmina,"574603,491645945","697648,004120914"
2802022,Braniewo,gmina,"557777,108186082","724301,94439649"
1423072,Rusinów,gmina,"610894,11252768","398667,441376709"
2609043,Koprzywnica,gmina,"682223,562575518","306510,380707545"
2609022,Dwikozy,gmina,"696226,641238224","323721,805763443"
2609093,Zawichost,gmina,"696818,404815113","332668,642452991"
2804012,Elbląg,gmina,"527649,808626298","698584,447018241"
2613063,Włoszczowa,gmina,"567274,703327554","330165,866296583"
2809011,Lidzbark Warmiński,gmina,"602532,935063351","697529,503439596"
2811043,Nidzica,gmina,"598005,841314307","618254,198465942"
2814082,Kolno,gmina,"630396,433956083","682315,065582519"
2811012,Janowiec Kościelny,gmina,"601678,310528989","602623,588569815"
2817052,Rozogi,gmina,"654908,98735699","625773,759813084"
2816023,Orzysz,gmina,"693021,198962982","664338,710393673"
2815073,Miłomłyn,gmina,"553677,357260198","654439,507180483"
2817072,Świętajno,gmina,"649513,943471456","638317,28489186"
2814122,Świątki,gmina,"581109,794692664","674537,45670182"
3002052,Lubasz,gmina,"331383,957909516","553271,150374706"
3017072,Sieroszewice,gmina,"433474,195961262","415678,379849749"
3018033,Grabów nad Prosną,gmina,"437973,85539129","401880,52182305"
3024063,Pniewy,gmina,"317905,478632167","522776,130358847"
3021113,Murowana Goślina,gmina,"367228,336579676","527396,888706607"
3021042,Czerwonak,gmina,"365504,954410796","517246,478917784"
3021072,Komorniki,gmina,"350575,87878079","498051,630924255"
3021093,Kórnik,gmina,"367797,725064999","489097,276639059"
3027052,Malanów,gmina,"457724,084090748","454681,325494358"
3027033,Dobra,gmina,"476215,814942199","447845,919405678"
3027092,Władysławów,gmina,"462208,963184805","472337,908513836"
1802022,Domaradz,gmina,"715856,550740851","217948,348362021"
1802042,Haczów,gmina,"711381,931030695","203610,318113429"
1206172,Zielonki,gmina,"566922,177628035","252842,161502239"
2012022,Filipów,gmina,"736451,464673034","708099,049561706"
3205012,Brojce,gmina,"261329,373542604","684414,367985587"
613022,Jabłoń,gmina,"780889,541827313","434526,831116084"
2204032,Kolbudy,gmina,"466488,752955422","712270,706066573"
2204072,Suchy Dąb,gmina,"485434,507828284","703861,794961599"
1017052,Osjaków,gmina,"484430,961444795","378761,661255862"
1017042,Mokrsko,gmina,"463816,693537424","365992,8427526"
1428052,Nowa Sucha,gmina,"581509,402451956","478021,629110903"
1428022,Brochów,gmina,"590281,870513334","498130,314848267"
1804062,Pawłosiów,gmina,"759140,777071756","243657,143758267"
1207062,Laskowa,gmina,"607949,843657684","211275,276256217"
2013033,Czyżew,gmina,"725748,212231387","556337,586827686"
2013093,Szepietowo,gmina,"739542,012079145","558814,201114724"
403052,Nowa Wieś Wielka,gmina,"439125,347225304","570740,045524116"
3005053,Wielichowo,gmina,"320200,572304148","474601,267963541"
1604023,Kluczbork,gmina,"444882,127628736","346105,550024588"
805013,Cybinka,gmina,"212443,605678457","489897,702631552"
2817083,Wielbark,gmina,"629476,049664281","616721,267227581"
2608022,Kije,gmina,"611827,074449354","306300,037734939"
618102,Telatyn,gmina,"845067,864392884","307262,556261807"
2212053,Kępice,gmina,"362019,818517027","707238,430747242"
1410062,Stara Kornica,gmina,"768575,711020313","487933,191117276"
1411011,Maków Mazowiecki,gmina,"640797,320298651","557143,356639012"
1411062,Płoniawy-Bramura,gmina,"639067,148295367","569004,509756307"
1405032,Baranów,gmina,"600614,96716","476994,584278676"
1405052,Jaktorów,gmina,"604016,276882616","468912,145105264"
1406032,Chynów,gmina,"643436,108970206","449217,258336626"
1211123,Rabka-Zdrój,gmina,"570313,805956227","192396,069137963"
206072,Mysłakowice,gmina,"277053,278925285","335873,176752183"
3215023,Barwice,gmina,"324701,814798638","657134,779530622"
619032,Hańsk,gmina,"806937,192873079","403255,81195615"
619042,Stary Brus,gmina,"796459,125438826","411751,908890349"
2213112,Smętowo Graniczne,gmina,"475925,355484897","651650,383173958"
2214011,Tczew,gmina,"485744,535282347","691704,322163853"
1412052,Dębe Wielkie,gmina,"667974,019949637","485302,92894139"
1412132,Siennica,gmina,"679652,965222172","471725,108649912"
1811032,Czermin,gmina,"663287,921841721","275857,716625176"
1216042,Pleśna,gmina,"637345,381004485","229275,970955109"
410013,Kcynia,gmina,"397598,611456715","573285,384922083"
410033,Nakło nad Notecią,gmina,"408819,202472771","587319,55569992"
412042,Rypin,gmina,"529567,571130582","577412,978276036"
412052,Skrwilno,gmina,"540333,278336214","573948,671464238"
3216011,Świdwin,gmina,"288873,38976027","661883,276900745"
3216022,Brzeżno,gmina,"288853,326530573","653206,933546988"
3217011,Wałcz,gmina,"330384,935897097","603796,106186721"
620032,Komarów-Osada,gmina,"818477,712361895","317527,530949034"
2216032,Stary Dzierzgoń,gmina,"529161,205635524","667629,07097075"
1414052,Pomiechówek,gmina,"618407,842216802","515610,329486589"
1436022,Policzna,gmina,"685778,724056055","399702,733002456"
1409022,Ciepielów,gmina,"677778,47021344","376948,542028451"
1812073,Ulanów,gmina,"734880,111231965","297749,160289393"
1216143,Zakliczyn,gmina,"628693,443358586","220401,989822588"
1216162,Szerzyny,gmina,"660486,285985324","219090,191832949"
1217052,Poronin,gmina,"574166,474125753","160623,130736181"
209011,Chojnów,gmina,"286286,40074465","382918,577177664"
209032,Krotoszyce,gmina,"296409,326867273","369014,304484989"
414072,Osie,gmina,"454045,749477833","640205,840974798"
3218023,Łobez,gmina,"278364,02765","647784,387762061"
1001011,Bełchatów,gmina,"525502,950575453","388261,261650372"
1001072,Szczerców,gmina,"508671,96635569","384459,409082181"
1434031,Ząbki,gmina,"644253,954403378","493995,079582611"
1434052,Dąbrówka,gmina,"653689,280650059","516132,964664139"
1434072,Klembów,gmina,"658214,768124481","507630,130280392"
1434123,Wołomin,gmina,"654347,412604519","500412,951567581"
1814032,Gać,gmina,"743280,391297702","245445,877799618"
1218022,Brzeźnica,gmina,"544744,118639931","231705,593346447"
1420032,Baboszewo,gmina,"585937,724690129","539213,827107826"
1421042,Michałowice,gmina,"626575,619363227","477824,320065228"
1821012,Baligród,gmina,"738000,150345566","166635,146614321"
2004053,Szczuczyn,gmina,"717390,880912425","638542,628853742"
2006011,Kolno,gmina,"694960,628812715","619188,995716341"
219063,Strzegom,gmina,"313800,626653875","347546,359968813"
606072,Łopiennik Górny,gmina,"784862,481284583","361632,875435195"
807023,Lubniewice,gmina,"244213,041898894","524147,973150684"
1609073,Niemodlin,gmina,"399633,891495185","310306,60240389"
220063,Żmigród,gmina,"356273,568477234","404579,768930208"
222022,Wińsko,gmina,"333162,646842055","401045,256653515"
1012011,Radomsko,gmina,"530793,739241172","356520,631043957"
1012092,Ładzice,gmina,"521500,926848359","356504,942416994"
1425082,Pionki,gmina,"668358,953938332","404060,941533452"
1201082,Trzciana,gmina,"598715,156202342","219463,491408413"
1201092,Żegocina,gmina,"602855,200217509","216846,837434638"
1203043,Libiąż,gmina,"523075,450883554","247092,026803198"
2008013,Goniądz,gmina,"748731,126710377","636262,707536857"
2008052,Krypno,gmina,"755082,071416088","607581,417797552"
2010032,Dziadkowice,gmina,"765505,424767334","528999,609480745"
