jpt_nazwa_,ID,Powiat_ID,Długość,Szerokość
powiat Świnoujście,3263,p_3263,14.33,53.85
powiat dzierżoniowski,202,p_0202,16.70,50.74
powiat głogowski,203,p_0203,16.08,51.68
powiat pyrzycki,3212,p_3212,14.93,53.13
powiat tczewski,2214,p_2214,18.73,53.93
powiat sławieński,3213,p_3213,16.59,54.37
powiat zgorzelecki,225,p_0225,15.09,51.19
powiat Siemianowice Śląskie,2474,p_2474,19.03,50.31
powiat Świętochłowice,2476,p_2476,18.91,50.30
powiat Tychy,2477,p_2477,19.00,50.12
powiat Zabrze,2478,p_2478,18.79,50.32
powiat Żory,2479,p_2479,18.69,50.04
powiat bielski,2402,p_2402,19.05,49.83
powiat będziński,2401,p_2401,19.16,50.41
powiat cieszyński,2403,p_2403,18.80,49.74
powiat Ruda Śląska,2472,p_2472,18.87,50.27
powiat gołdapski,2818,p_2818,22.33,54.28
powiat węgorzewski,2819,p_2819,21.77,54.21
powiat Elbląg,2861,p_2861,19.44,54.19
powiat Olsztyn,2862,p_2862,20.47,53.78
powiat bartoszycki,2801,p_2801,20.76,54.25
powiat braniewski,2802,p_2802,19.97,54.30
powiat działdowski,2803,p_2803,20.02,53.27
powiat białogardzki,3201,p_3201,16.06,53.98
powiat choszczeński,3202,p_3202,15.58,53.14
powiat goleniowski,3204,p_3204,14.88,53.63
powiat drawski,3203,p_3203,15.99,53.47
powiat gryficki,3205,p_3205,15.23,53.95
powiat kamieński,3207,p_3207,14.75,53.90
powiat gryfiński,3206,p_3206,14.50,53.02
powiat kołobrzeski,3208,p_3208,15.60,54.07
powiat Koszalin,3261,p_3261,16.21,54.20
powiat Szczecin,3262,p_3262,14.61,53.43
powiat górowski,204,p_0204,16.55,51.63
powiat wejherowski,2215,p_2215,18.06,54.59
powiat sztumski,2216,p_2216,19.23,53.91
powiat Gdańsk,2261,p_2261,18.63,54.36
powiat Gdynia,2262,p_2262,18.48,54.51
powiat kwidzyński,2207,p_2207,19.02,53.73
powiat Sosnowiec,2475,p_2475,19.19,50.28
