JPT_NAZWA_,JPT_KOD_JE,longitude,latitude,mean_longitude,mean_latitude
powiat łańcucki,1810,732907.4990670932,252321.9091106971,734207.8013477342,251672.21724595362
powiat pszczyński,2410,491711.3506900527,236000.87261783652,492198.083661923,235875.87048524525
powiat Wrocław,0264,359822.4520056945,364233.63740758895,359097.60113295587,364152.3088849508
powiat krośnieński,0802,225328.55098537117,469413.0927555571,225332.74454273342,468429.1719529177
powiat choszczeński,3202,271445.3625394355,591341.2014114147,276121.84200542927,592177.1985411313
powiat Białystok,2061,778095.4634582913,593291.9964542683,777395.4644869494,592791.2489354848
powiat policki,3211,197432.03009737525,643107.510781572,200338.04106995065,639450.0651025684
powiat goleniowski,3204,228023.63661721288,648817.3090261318,228848.22609649826,646714.6714105993
powiat tomaszowski,1016,572691.3358460038,415555.8299547581,573807.7610057665,414901.2813124601
powiat górowski,0204,330796.5545716849,421145.3330740288,330908.00827795797,421631.8893195172
powiat rawicki,3022,358688.4000317318,421805.69342875754,362132.99902652064,421953.58654177096
powiat oleśnicki,0214,395990.87845401367,378529.6390060855,395471.760573366,377474.3525893674
powiat milicki,0213,383350.71247652464,407011.31201033155,382226.96589532006,405900.838881243
powiat gostyński,3004,366508.4867736157,442156.87912671565,368394.84259860386,443097.64878536016
powiat pyrzycki,3212,228179.62038905366,593103.8030669403,231070.08060339862,592217.7519900976
powiat legionowski,1408,633154.1224941036,510956.045140897,631516.0421285739,511628.6019830825
powiat miechowski,1208,576003.417853841,280954.6929929576,576935.732265836,280714.47681174334
powiat pucki,2211,460568.5325037121,760866.2943042312,463830.14987603156,759441.2007657723
powiat tczewski,2214,482536.6846649495,674209.8849351117,483382.65252054064,672737.5072574238
powiat kłobucki,2406,490264.59039985074,341001.1635759161,490574.2002323604,340656.334414809
powiat puławski,0614,712385.7136568093,398623.593481342,713481.6325692516,399448.85360139515
powiat aleksandrowski,0401,481952.4685671197,548077.2624441963,485180.0892716009,546584.3755804002
powiat rawski,1013,596593.6377707346,434100.2546263189,594956.847893379,433858.27057535667
powiat wyszkowski,1435,666867.9205024671,534041.1942337912,669956.438767635,534699.9363371748
powiat lęborski,2208,415261.6280681828,747107.2601449037,415218.0919656408,745713.0030823993
powiat Zielona Góra,0862,261559.9344070808,456842.1822067315,262769.6465055678,456966.72318082256
powiat kraśnicki,0607,720878.3669450713,343427.99357394484,721125.8853621876,342992.5328921499
powiat zambrowski,2014,718666.761231005,576267.7607820962,717417.1070777497,578047.7414994682
powiat łowicki,1005,559243.4725622402,472267.2576266054,556409.8023397839,471948.1715087849
